title,description,date,url
"“Gobernar desde las regiones generará riqueza”: Didier Tavera, director ejecutivo de FND","El director ejecutivo de la Federación Nacional de Departamento, se refirió al futuro de las regiones de cara al nuevo gobierno.",31/07/2026,https://www.elespectador.com/politica/gobernar-desde-las-regiones-generara-riqueza-didier-tavera-director-ejecutivo-de-fnd/
De la Espriella llevó a cabo su tercer consejo de ministros designados,"El presidente electo, Abelardo de la Espriella, tuvo su tercer consejo de ministros designados a siete días de asumir el poder.",31/07/2026,https://www.elespectador.com/politica/de-la-espriella-llevo-a-cabo-su-tercer-consejo-de-ministros-designados/
Centro Democrático tuvo reunión de bancada junto a Álvaro Uribe: esto se habló,El Centro Democrático llevó a cabo este viernes una reunión de bancada junto al expresidente Álvaro Uribe.,01/08/2026,https://www.elespectador.com/politica/centro-democratico-tuvo-reunion-de-bancada-junto-a-alvaro-uribe-esto-se-hablo/
¿Quiénes componen el gabinete de Abelardo de la Espriella? Solo falta una ministra,"A una semana de la posesión del nuevo gobierno de Abelardo de la Espriella, el mandatario electo ya cuenta con casi todos sus ministros.",31/07/2026,https://www.elespectador.com/politica/quienes-son-los-ministros-abelardo-de-la-espriella-rodrigo-lara-elsa-noguera-omar-bula-y-jorge-mora-noticias-hoy/
Nueva polémica por designación de Ana María Vesga como ministra de Salud de De la Espriella,"Luego de que el presidente electo, Abelardo de la Espriella designara a Vesga, se manifestaron desde diferentes sectores.",31/07/2026,https://www.elespectador.com/politica/nueva-polemica-por-designacion-de-ana-maria-vesga-como-ministra-de-salud-de-de-la-espriella/
Congresistas radicaron 139 proyectos de ley en Senado y 152 en Cámara durante dos semanas,"Desde el 20 de julio a la fecha, en el Congreso de la República se han radicado 291 proyectos de ley en ambas cámaras.",31/07/2026,https://www.elespectador.com/politica/congresistas-radicaron-291-proyectos-de-ley-139-en-senado-y-152-en-camara-de-representantes-durante-primeras-semanas-noticias-hoy/
Esta es la agenda del presidente Petro en La Habana (Cuba): será su último viaje en el poder,El presidente Gustavo Petro viajó a Cuba para adelantar su última agenda internacional. Se reuniría con el mandatario cubano Miguel Díaz.,31/07/2026,https://www.elespectador.com/politica/presidente-petro-viaja-a-la-habana-cuba-para-reunirse-con-diaz-canel-sera-su-ultimo-viaje-en-el-poder-noticias-hoy/
Canciller habla de la logística de la posesión: “No se hizo con la suficiente antelación”,La canciller Rosa Villavicencio habló con El Espectador sobre los cambios en la política exterior tras la llegada de De la Espriella.,31/07/2026,https://www.elespectador.com/politica/canciller-habla-de-la-logistica-de-la-posesion-no-se-hizo-con-la-suficiente-antelacion/
Así se mueven las fichas para la elección del contralor en el Congreso: será el 12 de agosto,"El 12 de agosto, el Congreso en pleno elegirá al nuevo contralor general. Ministro Rodrigo Lara se refirió a posibles acuerdos.",31/07/2026,https://www.elespectador.com/politica/eleccion-a-contralor-general-sera-el-12-de-agosto-ministro-lara-hizo-llamado-al-congreso-sobre-los-candidatos-noticias-hoy/
De la Espriella reabre debate por cadena perpetua durante Consejo de Ministros en Atlántico,El presidente electo Abelardo de la Espriella le pidió a su gabinete “endurecer penas para asesinos y abusadores de niños”.,31/07/2026,https://www.elespectador.com/politica/abelardo-de-la-espriella-reabre-debate-por-cadena-perpetua-para-asesinos-de-ninos-durante-consejo-de-ministros-en-barranquilla/
“No se va a paralizar el Estado porque alguien se vaya a posesionar”: Rosa Villavicencio,"La canciller habló con El Espectador sobre las relaciones con EE. UU. y el ""timonazo"" en política exterior de De la Espriella.",31/07/2026,https://www.elespectador.com/politica/canciller-de-gustavo-petro-hablo-de-cierre-de-embajadas-posesion-de-de-la-espriella-y-estados-unidos-noticias-hoy/
