url,title,description,reason
https://actualidadpanamericana.com/nuevo-perfume-de-lady-gaga-sera-inspirado-en-bogota/,Nuevo perfume de Lady Gaga será inspirado en Bogotá,el nuevo perfume de lady gaga combina las escénicas más representativas de la capital colombiana,place_only_no_political_context
https://actualidadpanamericana.com/hombre-contrae-hemorroides-por-sentarse-en-silla-tibia-en-bus-de-bogota/,Hombre contrae hemorroides por sentarse en silla tibia en bus de Bogotá,El insólito caso ocurrió en la localidad de Suba al occidente de la capital y probaría una popular teoría que...,place_only_no_political_context
https://actualidadpanamericana.com/nairo-quintana-llego-a-bogota-y-tuvo-que-coger-transmilenio/,Nairo Quintana llegó a Bogotá y tuvo que coger Transmilenio,"Un momento incómodo vivió el reciente campeón del Giro de Italia a su regreso a Colombia. Contrario a lo que en su momento se alcanzó a avisorar, cuando se habló de una bienvenida multitudinaria en la que iba a poder sentir toda la gratitud y el cariño del pueblo colombiano, su arribo se dio en medio de la más absoluta indiferencia.",place_only_no_political_context
https://actualidadpanamericana.com/dora-la-aspiradora-vaticina-que-colombia-ganara-manana-2/,¡Dora la aspiradora vaticina que Colombia ganará mañana!,"Horas antes del crucial partido, el carismático aparato da nuevos motivos a los hinchas colombianos para estar optimistas.",place_only_no_political_context
https://actualidadpanamericana.com/maglia-rosa-y-maicol-stelvio-los-nombres-de-bebe-que-hacen-furor-en-boyaca/,"Maglia Rosa y Maicol Stelvio, los nombres de bebé que hacen furor en Boyacá",Estos nombres causan furor entre los bebes boyacenses,place_only_no_political_context
https://actualidadpanamericana.com/movimiento-accion-poetica-colombiana-ahora-cobrara-a-quienes-compartan-sus-frases/,Movimiento Acción Poética Colombiana ahora cobrará a quienes compartan sus frases,Polémica e indignación ha causado el nuevo lineamiento de la popular página de poetas locales que han decidido de ahora en adelante cobrar a las personas que compartan sus estados de Facebook y sus publicaciones en Twitter.,place_only_no_political_context
https://actualidadpanamericana.com/la-funeraria-ultimo-adios-hipster-bogota/,"La funeraría, para un último adiós ""hipster"" en Bogotá - Actualidad Panamericana",Un nuevo concepto en último adiós hace furor por estos días entre la población alternativa de Bogotá. Se trata de «La...,place_only_no_political_context
https://actualidadpanamericana.com/dora-la-aspiradora-vaticina-que-colombia-ganara-manana/,Dora la aspiradora vaticina que Colombia ganará hoy,El carismático electrodoméstico que hasta ahora no ha fallado en sus pronósticos acaba de decidirse por Colombia como ganador del partido contra Uruguay hoy por los octavos de final del Mundial Brasil 2014.,place_only_no_political_context
https://actualidadpanamericana.com/robin-williams-habria-debutado-en-colombia/,Robin Williams habría debutado en Colombia,"Todos lo conocimos y lo recordaremos por sus personajes, pero realmente pocos saben de sus inicios como comediante y como cuenta chistes.",place_only_no_political_context
https://actualidadpanamericana.com/tamano-del-pene-determina-el-comportamiento-en-transmilenio/,Tamaño del pene determina el comportamiento en TransMilenio,Mediciones físicas realizadas a malos ciudadanos arrojan sorprendentes resultados.,place_only_no_political_context
