claim,description,date,rating,url
Este video es de venezolanos regresando en lancha desde Colombia,De acuerdo a la geolocalización de EsPaja las lanchas van en sentido contrario de lo que sería si viniesen desde Colombia. La fecha de publicación del video original coincide con un acto de campaña de Nicolás Maduro en el Zulia.,27/07/2024,Falso,https://colombiacheck.com/chequeos/video-no-muestra-venezolanos-que-vinieron-en-lancha-de-colombia-para-votar-el-28j
Sofía Petro vaticina ‘estallido social’ si gana Abelardo de la Espriella,Una imagen falsa manipula lo que registró El Tiempo en una pieza similar de 2022 para adaptarlo al contexto de 2026 al cambiar al candidato presidencial aludido.,29/05/2026,Falso,https://colombiacheck.com/chequeos/sofia-petro-vaticino-estallido-social-si-ganaba-hernandez-no-ha-dicho-esto-sobre-de-la
Video de Rodrigo Londoño apoyando precandidatura de Iván Cepeda,El presidente del partido Comunes “saludó” en X la precandidatura presidencial del senador del Polo pero esta grabación es de 2021 y se refiere a otro tema.,11/09/2025,Cuestionable,https://colombiacheck.com/chequeos/este-video-de-apoyo-de-rodrigo-londono-ivan-cepeda-es-viejo-y-no-tiene-contexto-electoral
Orden de retirar placa sobre Palacio de Justicia busca limpiar al M-19,La orden de 2023 atiende al reclamo de las víctimas sobre la inexactitud del aviso. Se busca incluir la responsabilidad de la Fuerza Pública junto a la de la guerrilla.,05/03/2025,Cuestionable,https://colombiacheck.com/chequeos/jep-ordeno-cambiar-placa-sobre-toma-del-palacio-de-justicia-pero-no-para-limpiar-al-m-19
La corrupción insaciable del Gobierno del Cambio llegó también al Chocó,La denuncia de la Contraloría está relacionada con el programa ‘Todos por el Pacífico’ que inició en 2011 y terminó su ejecución en julio de 2017 y septiembre de 2022 cuando Gustavo Petro apenas llevaba un mes en la Presidencia.,19/06/2024,Falso,https://colombiacheck.com/chequeos/corrupcion-en-proyectos-de-acueducto-en-el-choco-no-es-del-gobierno-petro
"Petro ya le subió mucho a los trabajadores. En mi gobierno, yo rebajaré los",El expresidente ha asociado los incrementos con un mayor coste de vida. La desinformación comenzó a circular previo a la discusión del nuevo salario mínimo.,05/12/2025,Cuestionable,https://colombiacheck.com/chequeos/uribe-no-dijo-que-petro-ya-le-subio-mucho-los-trabajadores-pero-critica-sus-ajustes
Jueza Sandra Heredia facultó al Gobierno Petro para hacer interceptaciones,Un influenciador tergiversa la decisión de validar las escuchas al expresidente como pruebas. Su legalidad ya había sido avalada en otros tribunales.,29/07/2025,Falso,https://colombiacheck.com/chequeos/fallo-contra-uribe-jueza-heredia-no-argumento-que-petro-puede-interceptar-cualquiera
Maria Fernanda Cabal trinó en contra de Vicky Dávila,No hay rastro del mensaje falsamente atribuido a la senadora del Centro Democrático donde aparentemente le reclama a la saliente directora de Semana por tener “vínculos con peligrosos mafiosos”.,20/11/2024,Falso,https://colombiacheck.com/chequeos/me-prometiste-que-no-te-ibas-lanzar-supuesto-trino-de-cabal-contra-vicky-davila-es-un
Video de Petro consumiendo droga,La grabación original fue editada para omitir que antes de pasarse la mano por la nariz el mandatario tomó agua de una botella que le pasó su equipo de seguridad.,30/04/2025,Falso,https://colombiacheck.com/chequeos/petro-no-esta-consumiendo-drogas-en-este-video-sacado-de-contexto
"“Me encargaré de capturar a Álvaro Uribe"": fiscal Luz Adriana Camargo",No hay registro de que la funcionaria haya hecho ese anuncio ni en los medios públicos ni en otros. La imagen que circula en redes sociales es una suplantación.,29/10/2025,Falso,https://colombiacheck.com/chequeos/imitacion-rtvc-atribuye-falsa-cita-fiscal-camargo-sobre-captura-uribe-y-quienes-lo
